provincie,week,aantal,week_volgnr
Noord-Brabant,2020-51,9,51
Limburg,2020-51,2,51
Groningen,2020-52,2,52
Friesland,2020-52,0,52
Drenthe,2020-52,0,52
Overijssel,2020-52,2,52
Flevoland,2020-52,0,52
Gelderland,2020-52,5,52
Utrecht,2020-52,2,52
Noord-Holland,2020-52,5,52
Zuid-Holland,2020-52,10,52
Zeeland,2020-52,0,52
Noord-Brabant,2020-52,4,52
Limburg,2020-52,2,52
Groningen,2020-53,0,53
Friesland,2020-53,0,53
Drenthe,2020-53,0,53
Overijssel,2020-53,1,53
Flevoland,2020-53,1,53
Gelderland,2020-53,4,53
Utrecht,2020-53,1,53
Noord-Holland,2020-53,10,53
Zuid-Holland,2020-53,5,53
Zeeland,2020-53,0,53
Noord-Brabant,2020-53,9,53
Limburg,2020-53,1,53
Groningen,2021-01,1,54
Friesland,2021-01,0,54
Drenthe,2021-01,2,54
Overijssel,2021-01,4,54
Flevoland,2021-01,1,54
Gelderland,2021-01,7,54
Utrecht,2021-01,0,54
Noord-Holland,2021-01,9,54
Zuid-Holland,2021-01,4,54
Zeeland,2021-01,0,54
Noord-Brabant,2021-01,5,54
Limburg,2021-01,1,54
